Title,Genre,Premiere Date
The Endless Night,Drama,"January 25, 2023"
Club de Cuervos,Comedy drama,"August 7, 2015"
Estocolmo,Crime drama,"November 11, 2016"
Ingobernable,Political drama,"March 24, 2017"
Cable Girls,Period drama,"April 28, 2017"
Edha,Drama,"March 16, 2018"
Club de Cuervos Presents: The Ballad of Hugo Sánchez,Comedy,"June 17, 2018"
The House of Flowers,Comedy,"August 10, 2018"
Wild District,Crime drama,"October 19, 2018"
Diablero,Horror fantasy thriller,"December 21, 2018"
Always a Witch,Supernatural drama,"February 1, 2019"
Go! Live Your Way,Musical,"February 22, 2019"
Crime Diaries: The Candidate,Crime anthology series,"March 22, 2019"
Crime Diaries: Night Out,Crime anthology series,"May 3, 2019"
High Seas,Mystery period drama,"May 24, 2019"
Yankee,Drama,"June 14, 2019"
Green Frontier,Crime drama/thriller,"August 16, 2019"
Monarca,Family drama,"September 13, 2019"
Criminal: Spain,Police procedural anthology,"September 20, 2019"
Hache,Thriller,"November 1, 2019"
The Club,Crime drama,"November 15, 2019"
Three Days of Christmas,Drama,"December 6, 2019"
The Neighbor,Superhero comedy,"December 31, 2019"
Puerta 7,Sports crime drama,"February 21, 2020"
Unstoppable,Comedy drama,"February 28, 2020"
Almost Happy,Comedy,"May 1, 2020"
The Unremarkable Juanquini,Comedy,"May 15, 2020"
Control Z,Teen drama,"May 22, 2020"
The Search,Crime anthology series,"June 12, 2020"
Dark Desire,Thriller,"July 15, 2020"
The Great Heist,Crime drama,"August 14, 2020"
